"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"550880865874874368","","","2015-01-02 05:06:47 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Paul Broun Wikipedia article edited by Therequiembellishere http://t.co/1H8EO5jOhc","","","","http://en.wikipedia.org/w/index.php?diff=640609923&oldid=639644711"
"550880301837074432","","","2015-01-02 05:04:33 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Jack Kingston Wikipedia article edited by Therequiembellishere http://t.co/xSNVx8PAUF","","","","http://en.wikipedia.org/w/index.php?diff=640609736&oldid=639110850"
"550871945202651137","","","2015-01-02 04:31:21 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Elizabeth Warren Wikipedia article edited by Lawrencekhoo http://t.co/1PhJUYTbNl","","","","http://en.wikipedia.org/w/index.php?diff=640606994&oldid=640438500"
"550863565113278465","","","2015-01-02 03:58:03 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Steve Scalise Wikipedia article edited by Anonymous http://t.co/kyynSGVNBT","","","","http://en.wikipedia.org/w/index.php?diff=640604347&oldid=640596993"
"550855491870785536","","","2015-01-02 03:25:58 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Tim Walberg Wikipedia article edited by Varnent http://t.co/wVBabhYET8","","","","http://en.wikipedia.org/w/index.php?diff=640601482&oldid=629399548"
"550851548591697921","","","2015-01-02 03:10:18 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Jared Polis Wikipedia article edited by Anonymous http://t.co/tpyDI0Wiw7","","","","http://en.wikipedia.org/w/index.php?diff=640599939&oldid=635632460"
"550844399010476032","","","2015-01-02 02:41:53 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Steve Scalise Wikipedia article edited by MrX http://t.co/sJgqrqakoi","","","","http://en.wikipedia.org/w/index.php?diff=640596993&oldid=640587244"
"550835891061944320","","","2015-01-02 02:08:05 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Steve Stivers Wikipedia article edited by Therequiembellishere http://t.co/MbQn44lrEv","","","","http://en.wikipedia.org/w/index.php?diff=640593427&oldid=632611430"
"550834503057694720","","","2015-01-02 02:02:34 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","G. K. Butterfield Wikipedia article edited by Therequiembellishere http://t.co/mQLB4dqEQg","","","","http://en.wikipedia.org/w/index.php?diff=640592928&oldid=640586473"
"550833873232613376","","","2015-01-02 02:00:04 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Ann Wagner Wikipedia article edited by Therequiembellishere http://t.co/SrhBj1gEhc","","","","http://en.wikipedia.org/w/index.php?diff=640592647&oldid=631617004"
"550832164464783360","","","2015-01-02 01:53:16 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Aaron Schock Wikipedia article edited by Therequiembellishere http://t.co/RxqmBYPC4u","","","","http://en.wikipedia.org/w/index.php?diff=640591950&oldid=637443618"
"550829996076707840","","","2015-01-02 01:44:39 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Tom Cotton Wikipedia article edited by Anonymous http://t.co/apTUg5hd2R","","","","http://en.wikipedia.org/w/index.php?diff=640591104&oldid=639664148"
"550825977199087617","","","2015-01-02 01:28:41 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Dennis A. Ross Wikipedia article edited by Therequiembellishere http://t.co/MCyqT4GJIc","","","","http://en.wikipedia.org/w/index.php?diff=640589366&oldid=630842396"
